length-of-text, length-of-pattern, Naive, Boyer-Moore, Horspool
960,97,12,3,2
433,21,6,2,1
1263,158,15,4,4
849,74,11,2,2
56,102,0,2,2
1672,8,26,8,8
1720,80,23,2,3
9,168,0,3,4
1091,172,13,4,4
398,167,3,3,4
1786,5,28,14,12
1116,151,14,3,4
1912,35,27,3,4
1747,5,27,14,12
57,90,0,1,2
1562,57,21,3,3
1667,48,23,3,3
109,177,0,3,4
162,30,2,1,1
282,17,5,1,1
950,59,13,2,2
751,15,11,2,3
1351,155,17,4,4
189,180,0,3,4
1122,166,14,3,4
678,136,8,3,3
1181,90,16,2,3
1703,151,22,4,3
1280,92,17,3,3
506,173,5,3,3
1635,192,21,4,5
1057,93,14,3,2
1277,126,16,3,4
95,95,0,2,2
98,150,0,3,3
372,184,3,3,4
1465,196,18,4,5
238,45,2,1,1
491,167,4,3,3
388,108,5,2,2
464,182,5,3,4
12,38,0,1,1
1825,43,26,3,3
473,70,6,2,2
60,169,0,3,4
1174,102,16,2,2
405,36,6,1,2
1725,186,23,4,5
1802,155,23,3,4
1318,163,17,3,4
372,116,4,2,3
752,144,9,3,3
1120,63,14,2,2
1262,84,16,3,3
299,133,2,3,3
1452,114,19,3,3
1817,98,24,3,3
1405,84,18,2,3
1761,133,23,4,3
1666,43,23,2,2
213,121,1,2,3
434,92,4,2,2
718,21,11,2,2
229,25,3,1,1
510,85,6,2,2
1204,67,16,2,3
1228,11,19,5,5
1592,105,21,3,3
1025,137,13,3,3
943,49,13,2,2
1998,125,28,3,4
251,81,3,1,1
454,118,5,2,3
1292,41,18,3,2
1192,48,17,2,2
1265,53,17,2,3
1877,157,25,4,4
1251,190,16,4,4
1177,115,16,3,3
1708,88,23,3,3
317,141,3,2,3
1442,121,19,3,3
917,141,12,3,3
1181,170,15,3,4
1490,8,23,8,7
757,62,10,2,2
1218,106,16,3,3
77,18,1,1,1
1203,126,15,3,3
926,47,13,2,2
910,117,11,3,3
151,41,2,1,1
1932,172,26,3,4
260,47,3,2,1
894,118,12,2,3
330,74,4,1,1
181,157,1,2,3
1421,58,20,3,2
1684,94,22,4,3
1407,176,17,4,4
1406,60,19,2,2
1033,23,15,2,2
1010,52,14,2,2
1209,54,16,3,2
1706,22,26,4,4
353,55,4,2,2
